expcode,impcode,common_lang,ln_distance,ln_trade
SOUTH AFRICA,ALGERIA,0,4.106691,8.750525
SOUTH AFRICA,LIBY ARAB JM,1,3.997316,NA
SOUTH AFRICA,MOROCCO,0,4.212758,7.457032
SOUTH AFRICA,WESTERN SAHA,0,3.991379,NA
SOUTH AFRICA,SUDAN,1,3.793402,NA
SOUTH AFRICA,TUNISIA,0,4.170705,NA
SOUTH AFRICA,EGYPT,1,4.031059,NA
SOUTH AFRICA,CAMEROON,1,3.610918,NA
SOUTH AFRICA,CENTRAL AFR.,0,3.586979,NA
SOUTH AFRICA,CHAD,0,3.790605,NA
SOUTH AFRICA,CONGO,0,3.381365,6.419995
SOUTH AFRICA,GABON,0,3.419772,NA
SOUTH AFRICA,ANGOLA,0,2.856041,NA
SOUTH AFRICA,BURUNDI,0,3.265621,NA
SOUTH AFRICA,COMOROS,0,3.27082,NA
SOUTH AFRICA,ZAIRE,0,3.36789,NA
SOUTH AFRICA,BENIN,0,3.789153,NA
SOUTH AFRICA,EQ. GUINEA,0,3.526793,NA
SOUTH AFRICA,ETHIOPIA,0,3.677821,5.961005
SOUTH AFRICA,DJIBOUTI,0,3.800764,NA
SOUTH AFRICA,GAMBIA,1,4.07293,NA
SOUTH AFRICA,GHANA,1,3.811577,NA
SOUTH AFRICA,GUINEA,0,3.960768,NA
SOUTH AFRICA,COTE D'IVOIR,0,3.850374,6.390241
SOUTH AFRICA,KENYA,1,3.499711,8.529517
SOUTH AFRICA,LIBERIA,1,3.887953,NA
SOUTH AFRICA,MADAGASCAR,0,3.206729,5.916202
SOUTH AFRICA,MALAWI,1,2.91484,11.64938
SOUTH AFRICA,MALI,0,3.986233,NA
SOUTH AFRICA,MAURITANIA,0,4.107638,NA
SOUTH AFRICA,MAURITIUS,1,3.545697,9.373564
SOUTH AFRICA,MOZAMBIQUE,0,2.733106,NA
SOUTH AFRICA,NIGER,0,3.866185,NA
SOUTH AFRICA,NIGERIA,1,3.741341,4.043051
SOUTH AFRICA,GUINEA-BISSA,0,3.90841,NA
SOUTH AFRICA,REUNION,0,3.483469,10.33016
SOUTH AFRICA,RWANDA,1,3.319938,NA
SOUTH AFRICA,SENEGAL,0,4.049777,NA
SOUTH AFRICA,SEYCHELLES,1,3.688552,9.104091
SOUTH AFRICA,SIERRA LEONE,1,3.944261,NA
SOUTH AFRICA,SOMALIA,1,3.83568,NA
SOUTH AFRICA,ZIMBABWE,1,2.381087,12.17439
SOUTH AFRICA,TOGO,0,3.772262,NA
SOUTH AFRICA,UGANDA,1,3.435546,NA
SOUTH AFRICA,UNTD RP TANZ,1,3.238486,NA
SOUTH AFRICA,BURKINA FASO,0,3.899877,NA
SOUTH AFRICA,ZAMBIA,1,2.723369,NA
SOUTH AFRICA,CANADA,1,5.001259,12.02775
SOUTH AFRICA,USA,1,4.929507,14.62341
SOUTH AFRICA,BERMUDA,1,4.68103,2.302585
SOUTH AFRICA,GREENLAND,1,4.783903,4.564348
SOUTH AFRICA,ARGENTINA,1,4.478948,9.577965
SOUTH AFRICA,BOLIVIA,0,4.497644,6.84375
SOUTH AFRICA,BRAZIL,1,4.397564,9.974505
SOUTH AFRICA,CHILE,0,4.553932,10.01082
SOUTH AFRICA,COLOMBIA,0,4.620192,7.735434
SOUTH AFRICA,ECUADOR,0,4.654243,9.229359
SOUTH AFRICA,MEXICO,0,4.91492,6.122493
SOUTH AFRICA,PARAGUAY,0,4.409389,7.906547
SOUTH AFRICA,PERU,0,4.622902,NA
SOUTH AFRICA,URUGUAY,0,4.383275,7.850493
SOUTH AFRICA,VENEZUELA,0,4.577889,10.26566
SOUTH AFRICA,COSTA RICA,0,4.743418,1.609438
SOUTH AFRICA,EL SALVADOR,0,4.79387,5.616771
SOUTH AFRICA,GUATEMALA,0,4.809012,6.992096
SOUTH AFRICA,HONDURAS,0,4.778603,4.969813
SOUTH AFRICA,NICARAGUA,0,4.760564,NA
SOUTH AFRICA,BAHAMAS,1,4.729988,NA
SOUTH AFRICA,BARBADOS,1,4.538738,NA
SOUTH AFRICA,CAYMAN ISLDS,1,4.744417,NA
SOUTH AFRICA,CUBA,0,4.750244,NA
SOUTH AFRICA,DOMINICAN RP,0,4.664762,7.921173
SOUTH AFRICA,GUADELOUPE (,0,4.572744,6.278522
SOUTH AFRICA,HAITI,0,4.679388,NA
SOUTH AFRICA,JAMAICA,1,4.718132,2.944439
SOUTH AFRICA,NETH ANTILLE,1,4.617044,NA
SOUTH AFRICA,ST KITTS NEV,1,4.588513,NA
SOUTH AFRICA,TRINIDAD-TOB,1,4.542672,NA
SOUTH AFRICA,TURKS CAICOS,0,4.354485,NA
